,host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price
68,1,3,0,4.0,32,37.74889,-122.44479,1,0,4,1.0,1.0,2.0,4,30.0,26.0,95.0,10.0,10.0,10.0,10.0,9.0,9.0,116.0
69,1,1,0,9.0,24,37.79216,-122.42458,1,1,1,1.0,1.0,1.0,4,30.0,120.0,92.0,9.0,8.0,10.0,10.0,10.0,9.0,55.0
70,0,3,1,2.0,6,37.78816,-122.41722,1,0,4,1.0,2.0,2.0,4,3.0,82.0,96.0,10.0,9.0,10.0,10.0,9.0,10.0,187.0
71,0,1,0,1.0,11,37.77459,-122.43923,1,0,5,2.0,2.0,3.0,4,31.0,152.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,200.0
72,0,3,0,1.0,1,37.7472,-122.41443,1,0,2,1.0,1.0,1.0,4,30.0,213.0,92.0,10.0,9.0,10.0,9.0,9.0,9.0,175.0
73,0,3,1,4.0,16,37.75762,-122.41933,1,1,1,1.0,1.0,1.0,4,2.0,108.0,94.0,9.0,9.0,10.0,9.0,10.0,9.0,99.0
74,0,1,1,4.0,29,37.8031,-122.41596,8,1,4,2.0,1.0,1.0,4,2.0,220.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,109.0
75,1,0,1,1.0,1,37.74209,-122.41409,9,1,2,1.0,1.0,1.0,2,2.0,185.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
76,0,3,0,1.0,23,37.75674,-122.49178,15,1,2,1.0,1.0,1.0,4,60.0,1.0,20.0,10.0,10.0,10.0,2.0,10.0,10.0,100.0
77,1,1,1,2.0,19,37.80241,-122.40925,8,1,2,1.0,1.0,1.0,4,2.0,194.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
78,1,1,0,2.0,9,37.74183,-122.42993,1,1,1,1.0,1.0,1.0,4,3.0,35.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0
79,1,3,1,4.0,16,37.74926,-122.41398,11,0,2,1.0,1.0,1.0,4,2.0,295.0,93.0,10.0,10.0,10.0,10.0,10.0,9.0,166.0
80,0,3,1,4.0,16,37.754,-122.41771,11,0,2,1.0,1.0,1.0,4,2.0,210.0,93.0,9.0,9.0,10.0,10.0,10.0,9.0,125.0
81,1,0,0,1.0,15,37.80317,-122.42874,1,1,2,2.0,1.0,1.0,4,30.0,65.0,99.0,10.0,10.0,10.0,10.0,10.0,9.0,90.0
82,0,3,0,1.0,12,37.77798,-122.47812,1,0,2,1.0,0.0,1.0,4,30.0,96.0,83.0,9.0,9.0,10.0,9.0,9.0,8.0,95.0
83,0,4,0,35.0,22,37.77719,-122.50906,1,0,6,2.0,3.0,4.0,4,30.0,12.0,96.0,9.0,10.0,10.0,10.0,9.0,9.0,216.0
84,1,3,1,7.0,16,37.75426,-122.42387,1,0,2,1.0,1.0,1.0,4,31.0,35.0,99.0,10.0,10.0,10.0,10.0,10.0,9.0,326.0
85,1,1,0,1.0,12,37.77442,-122.46319,15,0,2,1.0,2.0,2.0,4,30.0,50.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,80.0
86,0,3,0,41.0,7,37.73027,-122.42644,15,1,2,1.0,1.0,1.0,4,30.0,39.0,91.0,9.0,9.0,10.0,9.0,9.0,9.0,46.0
87,0,3,0,41.0,7,37.73128,-122.42478,15,1,2,1.0,1.0,1.0,4,30.0,26.0,82.0,8.0,8.0,8.0,9.0,8.0,8.0,40.0
88,0,4,0,35.0,30,37.77707,-122.50923,1,0,4,2.0,3.0,3.0,4,30.0,7.0,93.0,9.0,8.0,9.0,9.0,9.0,8.0,185.0
89,0,3,0,2.0,1,37.74527,-122.42424,1,0,3,1.0,1.0,1.0,4,31.0,10.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,108.0
91,0,0,1,20.0,8,37.79447,-122.4045,13,2,1,1.0,1.0,1.0,4,1.0,356.0,92.0,10.0,10.0,10.0,10.0,10.0,10.0,45.0
92,1,0,0,1.0,1,37.74578,-122.40841,11,1,2,1.0,1.0,1.0,4,3.0,112.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,109.0
93,0,1,0,1.0,12,37.77625,-122.46466,1,0,2,1.0,1.0,2.0,4,30.0,2.0,60.0,9.0,8.0,10.0,10.0,8.0,8.0,80.0
94,0,3,0,12.0,35,37.77518,-122.43334,1,0,8,1.0,1.0,4.0,4,30.0,65.0,89.0,8.0,8.0,10.0,9.0,10.0,9.0,100.0
95,0,0,1,20.0,8,37.79309,-122.40443,13,2,2,1.0,1.0,2.0,4,1.0,352.0,94.0,10.0,9.0,10.0,10.0,10.0,9.0,45.0
96,0,3,0,12.0,35,37.77588,-122.43143,1,0,6,1.0,1.0,3.0,4,30.0,50.0,89.0,9.0,9.0,10.0,9.0,10.0,9.0,95.0
97,0,1,0,1.0,31,37.77026,-122.41855,1,0,2,1.0,1.0,1.0,4,30.0,30.0,99.0,10.0,10.0,10.0,10.0,8.0,9.0,270.0
98,0,3,0,12.0,35,37.77388,-122.43298,1,0,4,1.0,0.0,2.0,4,30.0,17.0,96.0,9.0,9.0,10.0,10.0,10.0,9.0,120.0
99,0,3,0,41.0,7,37.73137,-122.42532,15,1,2,1.0,1.0,1.0,4,30.0,34.0,86.0,9.0,8.0,9.0,9.0,8.0,9.0,40.0
100,0,3,0,41.0,7,37.73128,-122.42473,15,1,2,1.0,1.0,1.0,4,30.0,9.0,100.0,9.0,9.0,10.0,10.0,9.0,9.0,43.0
101,0,3,0,41.0,7,37.73048,-122.42494,15,1,2,1.0,1.0,1.0,4,30.0,34.0,90.0,9.0,8.0,9.0,10.0,8.0,9.0,40.0
102,1,1,0,1.0,9,37.73838,-122.43375,15,0,2,1.0,1.0,1.0,4,3.0,267.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,135.0
103,0,3,0,41.0,7,37.73134,-122.42457,15,1,3,1.0,1.0,1.0,4,30.0,21.0,81.0,7.0,8.0,9.0,8.0,8.0,8.0,60.0
104,0,3,1,4.0,16,37.75615,-122.41927,1,1,1,2.0,1.0,1.0,4,2.0,74.0,94.0,9.0,9.0,10.0,10.0,10.0,9.0,75.0
105,1,1,0,1.0,35,37.78493,-122.44618,8,0,4,1.0,1.0,2.0,4,30.0,14.0,93.0,10.0,9.0,10.0,10.0,10.0,9.0,83.0
106,0,3,0,41.0,7,37.73152,-122.42547,15,1,3,1.0,1.0,1.0,4,30.0,20.0,78.0,8.0,7.0,8.0,9.0,8.0,8.0,40.0
107,0,3,0,1.0,6,37.78025,-122.4131,17,0,1,1.0,1.0,1.0,4,30.0,14.0,97.0,10.0,10.0,10.0,10.0,8.0,9.0,250.0
108,1,1,0,1.0,35,37.78528,-122.44358,15,1,1,1.0,1.0,1.0,4,1.0,84.0,97.0,10.0,10.0,10.0,10.0,9.0,9.0,90.0
109,0,4,0,35.0,22,37.77483,-122.50952,1,0,2,1.0,0.0,1.0,4,30.0,6.0,100.0,10.0,10.0,9.0,9.0,9.0,9.0,85.0
110,1,3,0,2.0,2,37.75969,-122.44445,11,0,2,1.0,0.0,1.0,4,4.0,222.0,95.0,10.0,10.0,9.0,10.0,10.0,10.0,85.0
111,1,1,0,1.0,18,37.7455,-122.42898,11,1,2,1.0,1.0,1.0,4,2.0,323.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,115.0
113,1,1,1,2.0,19,37.80299,-122.40937,8,0,4,2.0,2.0,2.0,4,2.0,35.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,400.0
114,1,1,0,9.0,24,37.79176,-122.42476,1,1,1,1.0,1.0,1.0,4,30.0,130.0,94.0,10.0,9.0,10.0,10.0,10.0,9.0,59.0
115,0,1,0,1.0,16,37.76809,-122.42439,1,0,4,1.0,2.0,2.0,4,2.0,12.0,98.0,10.0,10.0,9.0,10.0,10.0,10.0,185.0
116,0,3,0,1.0,16,37.75629,-122.42518,1,0,5,2.0,3.0,3.0,4,4.0,10.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,450.0
118,0,3,0,4.0,23,37.75754,-122.49852,15,1,1,1.0,1.0,1.0,0,45.0,3.0,100.0,10.0,10.0,10.0,10.0,9.0,10.0,85.0
119,1,3,1,1.0,6,37.78535,-122.41515,1,0,2,2.0,2.0,2.0,4,30.0,59.0,98.0,10.0,10.0,10.0,10.0,8.0,10.0,130.0
120,0,1,1,1.0,34,37.73327,-122.46435,11,0,4,1.0,2.0,2.0,4,2.0,321.0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,125.0
121,0,3,0,1.0,0,37.71549,-122.38922,15,0,4,1.0,2.0,2.0,4,30.0,8.0,93.0,10.0,9.0,10.0,10.0,9.0,10.0,120.0
123,1,3,0,1.0,2,37.76102,-122.43005,8,1,1,1.0,1.0,1.0,4,1.0,501.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0
124,1,3,1,2.0,19,37.80591,-122.4083,8,0,4,1.0,1.0,2.0,4,30.0,6.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,125.0
125,0,3,0,1.0,35,37.77083,-122.43109,1,0,2,1.0,1.0,1.0,4,30.0,36.0,99.0,10.0,10.0,10.0,10.0,10.0,9.0,200.0
126,0,1,0,2.0,6,37.77381,-122.42148,1,0,2,1.0,1.0,1.0,4,30.0,70.0,94.0,10.0,9.0,9.0,10.0,9.0,9.0,75.0
128,0,3,0,4.0,11,37.76813,-122.44494,1,0,5,1.0,3.0,3.0,4,30.0,80.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,150.0
129,1,3,0,1.0,2,37.75887,-122.43565,1,0,3,1.0,1.0,2.0,4,3.0,137.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,328.0
130,0,3,0,10.0,11,37.76609,-122.45126,1,1,2,4.0,1.0,1.0,4,32.0,10.0,86.0,8.0,7.0,10.0,9.0,10.0,8.0,65.0
131,1,3,0,1.0,16,37.75586,-122.42092,1,0,2,1.0,1.0,1.0,4,30.0,65.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,97.0
132,1,1,0,1.0,1,37.73974,-122.42299,15,1,2,1.0,1.0,1.0,4,1.0,104.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,69.0
133,0,1,0,1.0,15,37.80356,-122.42589,8,0,4,1.0,2.0,2.0,4,3.0,69.0,97.0,9.0,9.0,10.0,10.0,10.0,9.0,275.0
135,1,1,0,3.0,1,37.74708,-122.42456,15,1,2,1.0,1.0,1.0,4,2.0,211.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,102.0
137,0,0,0,1.0,19,37.79835,-122.4042,1,0,3,1.0,1.0,1.0,4,30.0,60.0,92.0,10.0,9.0,10.0,10.0,10.0,9.0,150.0
138,0,3,0,1.0,31,37.77284,-122.39687,1,0,6,2.0,3.0,3.0,4,180.0,2.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,500.0
139,1,0,0,1.0,2,37.75823,-122.43273,15,1,2,1.0,1.0,1.0,4,5.0,57.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
141,1,3,0,1.0,22,37.78471,-122.48125,8,0,4,1.0,2.0,2.0,4,4.0,176.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,425.0
142,0,1,0,4.0,1,37.74547,-122.40726,15,1,2,1.0,1.0,2.0,4,2.0,139.0,93.0,10.0,9.0,10.0,10.0,9.0,9.0,85.0
143,1,1,0,9.0,24,37.79336,-122.42506,1,1,1,1.0,1.0,1.0,4,30.0,117.0,93.0,10.0,9.0,10.0,10.0,10.0,9.0,56.0
144,1,3,0,7.0,16,37.76409,-122.41659,22,0,4,2.0,2.0,3.0,4,30.0,113.0,96.0,9.0,9.0,9.0,9.0,9.0,9.0,395.0
146,0,0,0,1.0,2,37.76787,-122.43172,1,0,6,1.0,2.0,4.0,4,5.0,19.0,99.0,10.0,9.0,10.0,10.0,10.0,10.0,275.0
147,0,3,0,3.0,32,37.75195,-122.44928,1,0,2,1.0,1.0,2.0,4,30.0,87.0,82.0,8.0,8.0,9.0,9.0,9.0,8.0,115.0
149,1,3,1,6.0,16,37.76202,-122.41876,1,0,4,1.0,2.0,2.0,4,30.0,116.0,94.0,9.0,9.0,10.0,9.0,9.0,9.0,179.0
150,1,3,0,1.0,26,37.762,-122.39391,22,1,2,1.0,1.0,1.0,4,3.0,209.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,75.0
151,1,3,0,2.0,22,37.77761,-122.50378,1,0,2,1.0,1.0,1.0,4,4.0,212.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,149.0
152,1,1,0,5.0,34,37.74159,-122.46578,15,1,2,1.0,1.0,1.0,4,5.0,327.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,69.0
153,0,3,1,1.0,11,37.76827,-122.44678,1,0,4,1.0,1.0,1.0,4,30.0,150.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,185.0
154,0,1,1,1.0,16,37.75452,-122.40716,1,1,2,1.0,1.0,1.0,4,3.0,14.0,97.0,10.0,9.0,10.0,10.0,10.0,9.0,80.0
155,0,4,0,35.0,8,37.79018,-122.40475,1,0,2,1.0,0.0,2.0,4,30.0,24.0,87.0,9.0,9.0,9.0,10.0,10.0,9.0,110.0
156,0,4,0,35.0,8,37.79076,-122.40403,1,0,2,1.0,0.0,2.0,4,30.0,49.0,94.0,10.0,10.0,9.0,10.0,9.0,9.0,135.0
157,0,3,0,41.0,7,37.73143,-122.42325,15,1,2,1.0,1.0,1.0,4,30.0,8.0,84.0,9.0,8.0,9.0,10.0,8.0,8.0,40.0
158,0,3,1,2.0,3,37.79675,-122.40781,1,0,4,1.0,2.0,2.0,4,30.0,60.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,135.0
159,0,0,0,2.0,9,37.73723,-122.43139,12,0,2,1.0,1.0,1.0,4,3.0,23.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,155.0
160,1,3,1,2.0,1,37.74531,-122.41122,8,0,4,1.0,2.0,2.0,4,14.0,6.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,225.0
